molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,SMILES
CHEMBL4749346,5.6,IC50,nM,2500,IC50,uM,2.5,COc1ccc2cc3[n+](cc2c1OCc1ccc(Cl)cc1)CCc1cc2c(cc1-3)OCO2.[Br-]
CHEMBL4747158,5.91,IC50,nM,1220,IC50,uM,1.22,COc1ccc2cc3[n+](cc2c1OCc1ccc(Cl)c(Cl)c1)CCc1cc2c(cc1-3)OCO2.[Br-]
CHEMBL4748939,5.58,IC50,nM,2600,IC50,uM,2.6,COC(=O)c1ccc(COc2c(OC)ccc3cc4[n+](cc23)CCc2cc3c(cc2-4)OCO3)cc1.[Br-]
CHEMBL4795843,5.77,IC50,nM,1700,IC50,uM,1.7,COc1ccc2cc3[n+](cc2c1OCc1ccc(C#N)cc1)CCc1cc2c(cc1-3)OCO2.[Br-]
CHEMBL4762943,5.46,IC50,nM,3500,IC50,uM,3.5,COc1cccc(COc2c(OC)ccc3cc4[n+](cc23)CCc2cc3c(cc2-4)OCO3)c1.[Br-]
CHEMBL4752175,5.89,IC50,nM,1300,IC50,uM,1.3,COc1ccc2cc3[n+](cc2c1OCc1ccc(C(F)(F)F)cc1)CCc1cc2c(cc1-3)OCO2.[Br-]
CHEMBL4762533,5.28,IC50,nM,5300,IC50,uM,5.3,COc1ccc(COc2c(OC)ccc3cc4[n+](cc23)CCc2cc3c(cc2-4)OCO3)cc1.[Br-]
CHEMBL4747577,5.82,IC50,nM,1500,IC50,uM,1.5,COc1ccc2cc3[n+](cc2c1OCc1ccc2ccccc2c1)CCc1cc2c(cc1-3)OCO2.[Br-]
CHEMBL4752813,6.1,IC50,nM,790,IC50,uM,0.79,COc1ccc2cc3[n+](cc2c1OC(C)c1ccccc1)CCc1cc2c(cc1-3)OCO2.[Br-]
CHEMBL4752175,9.34,Ki,nM,0.456,Ki,nM,0.456,COc1ccc2cc3[n+](cc2c1OCc1ccc(C(F)(F)F)cc1)CCc1cc2c(cc1-3)OCO2.[Br-]
CHEMBL3323035,7.47,IC50,nM,34,IC50,nM,34,c1cc2c(cc1OCCCN1CCCCC1)CN1CCCC1=N2
CHEMBL4797355,6.41,IC50,nM,392,IC50,nM,392,O=c1c2ccccc2oc2ccc(OCCCCCN3CCCCCC3)cc12
CHEMBL4783624,6.92,IC50,nM,120,IC50,nM,120,O=c1c2cc(Cl)ccc2oc2ccc(OCCCCCN3CCCCCC3)cc12
CHEMBL95,6.88,IC50,nM,131,IC50,nM,131,Nc1c2c(nc3ccccc13)CCCC2
CHEMBL502,8.22,IC50,nM,6,IC50,nM,6,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
CHEMBL4787418,4.59,IC50,nM,25400,IC50,nM,25400,CCCCN[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC1CCN(Cc2ccccc2)CC1
CHEMBL4750731,4.8,IC50,nM,16000,IC50,nM,16000,CCCCN[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC1CCCN(Cc2ccccc2)CC1
CHEMBL4745688,4.53,IC50,nM,29700,IC50,nM,29700,CCCCN[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC1CCN(CC2CCN(C)CC2)CC1
CHEMBL4790545,6.68,Ki,nM,210,Ki,uM,0.21,COc1ccc2cc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)ccc2c1
